wavenumber_cm-1,transmittance_fraction,absorbance
3992.3954372623575,0.942367601246106,0.025779653416384364
3984.790874524715,0.9439252336448598,0.02506240390256707
3977.186311787072,0.9439252336448598,0.02506240390256707
3969.5817490494296,0.942367601246106,0.025779653416384364
3961.977186311787,0.940809968847352,0.02649808944772145
3954.3726235741447,0.942367601246106,0.025779653416384364
3946.7680608365017,0.9439252336448598,0.02506240390256707
3939.1634980988592,0.9439252336448598,0.02506240390256707
3931.5589353612168,0.9454828660436138,0.02434633699359567
3923.9543726235743,0.9439252336448598,0.02506240390256707
3916.349809885932,0.9439252336448598,0.02506240390256707
3908.745247148289,0.9454828660436138,0.02434633699359567
3901.1406844106464,0.9454828660436138,0.02434633699359567
3893.536121673004,0.9439252336448598,0.02506240390256707
3885.9315589353614,0.9439252336448598,0.02506240390256707
3878.3269961977185,0.9439252336448598,0.02506240390256707
3870.722433460076,0.942367601246106,0.025779653416384364
3863.1178707224335,0.940809968847352,0.02649808944772145
3855.513307984791,0.9392523364485982,0.02721771592870194
3847.908745247148,0.940809968847352,0.02649808944772145
3840.3041825095056,0.942367601246106,0.025779653416384364
3832.699619771863,0.9454828660436138,0.02434633699359567
3825.0950570342206,0.9470404984423676,0.023631448796118337
3817.4904942965777,0.9470404984423676,0.023631448796118337
3809.885931558935,0.9470404984423676,0.023631448796118337
3802.2813688212927,0.9485981308411215,0.022917735435977894
3794.6768060836503,0.9501557632398754,0.022205193058086242
3787.072243346008,0.9501557632398754,0.022205193058086242
3779.467680608365,0.9485981308411215,0.022917735435977894
3771.8631178707224,0.9470404984423676,0.023631448796118337
3764.25855513308,0.9470404984423676,0.023631448796118337
3756.6539923954374,0.9470404984423676,0.023631448796118337
3749.0494296577945,0.9470404984423676,0.023631448796118337
3741.444866920152,0.9470404984423676,0.023631448796118337
3733.8403041825095,0.9454828660436138,0.02434633699359567
3726.235741444867,0.9454828660436138,0.02434633699359567
3718.6311787072245,0.9485981308411215,0.022917735435977894
3711.0266159695816,0.9501557632398754,0.022205193058086242
3703.422053231939,0.9517133956386293,0.021493817826299017
3695.8174904942966,0.9517133956386293,0.021493817826299017
3688.212927756654,0.9485981308411215,0.022917735435977894
3680.608365019011,0.9470404984423676,0.023631448796118337
3673.0038022813687,0.9454828660436138,0.02434633699359567
3665.3992395437263,0.9454828660436138,0.02434633699359567
3657.7946768060838,0.9470404984423676,0.023631448796118337
3650.1901140684413,0.9470404984423676,0.023631448796118337
3642.5855513307984,0.9470404984423676,0.023631448796118337
