mode,raw_cm-1,scaled_cm-1,IR_km_mol-1
1,69.8614,67.15776382,4.6233
2,154.1615,148.19544994999998,3.3939
3,217.4502,209.03487726,9.7906
4,376.1453,361.58847689000004,1.9688
5,415.9819,399.88340047,3.4095
6,420.153,403.89307890000003,5.1466
7,504.8266,485.28981058,84.9168
8,522.1164,501.91049532,23.4556
9,632.3971,607.92333223,0.945
10,650.5885,625.41072505,8.7462
11,698.2552,671.23272376,0.2146
12,719.1662,691.3344680600001,66.0847
13,785.2687,754.87880131,7.412
14,807.2594,776.0184612200001,4.9198
15,863.6629,830.23914577,1.0211
16,941.2267,904.80122671,1.0965
17,980.1154,942.18493402,0.8095
18,1008.9651,969.91815063,0.1702
19,1018.4149,979.0022433700001,1.6976
20,1053.748,1012.9679524000001,8.8432
21,1103.8916,1061.17099508,27.9304
22,1123.1131,1079.6486230300002,2.873
23,1195.8693,1149.5891580900002,0.1952
24,1215.6386,1168.5933861800002,10.1925
25,1223.9724,1176.6046681200003,20.7711
26,1334.1073,1282.47734749,374.3077
27,1355.2132,1302.7664491599999,143.6621
28,1369.2182,1316.22945566,11.3745
29,1495.3274,1437.4582296199999,16.2267
30,1542.3528,1482.66374664,3.3417
31,1641.331,1577.8114903,3.3569
32,1661.2255,1596.93607315,10.6081
33,1851.7541,1780.0912163300002,269.1208
34,3172.0172,3049.26013436,10.942
35,3191.3166,3067.8126475800004,1.3175
36,3202.759,3078.8122267000003,19.045
37,3213.2572,3088.90414636,16.3192
38,3228.4013,3103.4621696900003,3.309
39,3740.822,3596.0521886,22.5999
