wavenumber_cm-1,experiment,reference,conformer1,conformer2,dimer
400.0,nan,0.0017139145872900013,0.003005486130215349,0.020989067122565166,1.1992215135990826e-05
401.0,nan,0.0019364668551320344,0.0034475457650037346,0.021495628582571803,1.1264291333941864e-05
402.0,nan,0.0022157744656246567,0.00397602429579235,0.021727608630553463,1.081595375140031e-05
403.0,nan,0.0025648196189779334,0.00460358121058036,0.021675779038438713,1.0625329821704325e-05
404.0,0.034840012366910894,0.0029982637940867145,0.005342066262174503,0.021341966852687883,1.0701466681663821e-05
405.0,0.03501478678743141,0.003531639265165237,0.006201146548098446,0.020738947292578316,1.1084215036043707e-05
406.0,0.035189561207951935,0.004180297372390586,0.0071868325281176275,0.019889633130139417,1.1843552215376834e-05
407.0,0.03536433562847245,0.00495813756803182,0.008300012146787779,0.018825631601591404,1.3078274207873092e-05
408.0,0.035539235826719785,0.005876169754051633,0.00953512540323123,0.017585295016268387,1.4913872023047356e-05
409.0,0.03571432544023431,0.006940992613697565,0.010879123979495281,0.016211432204609643,1.749931221273131e-05
410.0,0.03588941505374884,0.008153298974301577,0.012310858125071853,0.014748870570409366,2.1002381319036046e-05
411.0,0.03606450466726336,0.009506541563487913,0.013801013519668044,0.013242061017046558,2.560324628377415e-05
412.0,0.03602998581234245,0.01098590453562923,0.015312683922413512,0.011732901222523554,3.148594241862881e-05
413.0,0.035854896198827924,0.012567724032891312,0.016802613080473712,0.01025891980190921,3.8827637538917735e-05
414.0,0.03567980658531341,0.014219482177922618,0.01822307609409748,0.008851919735439567,4.77857372193407e-05
415.0,0.03550471697179888,0.015900462503181837,0.019524302840267533,0.007537129935213434,5.848318240191224e-05
416.0,0.03519064214162489,0.017563102486760792,0.0206572821855414,0.006332864941587738,7.099262394600835e-05
417.0,0.03484140736080785,0.019155014706536015,0.021576733983455085,0.005250649735839729,8.532050277897284e-05
418.0,0.03449217257999081,0.020621578585223812,0.022244003802805407,0.004295733451506494,0.00010139237149040446
419.0,0.034142937799173774,0.021908937889477342,0.02262962843654648,0.0034678946025851094,0.00011904100976729633
420.0,0.03327653902121241,0.022967183812492197,0.022715340892286516,0.002762431811708024,0.0001379989595694832
421.0,0.032408908900400726,0.023753467713799152,0.022495330529480242,0.002171236846013272,0.00015789699431140888
422.0,0.03154127877958905,0.024234777553391106,0.02197664241835385,0.001683858807912991,0.00017826971693027475
423.0,0.030540606443090434,0.024390130803255423,0.021178681940100346,0.0012884866491750843,0.00019856895894069648
424.0,0.0289981477342762,0.024211983437039716,0.020131876270436635,0.000972798657540157,0.00021818496186897483
425.0,0.027455689025461978,0.0237067248874495,0.018875623320029514,0.0007246493285679931,0.00023647452977239303
426.0,0.02591323031664775,0.022894214650984592,0.01745572158549056,0.0005325837658075533,0.00025279453725998567
427.0,0.024313997685803848,0.021806407263871154,0.015921514190717204,0.00038618586919045,0.0002665384652234901
428.0,0.022628414299298103,0.02048519763726036,0.014322993469827822,0.00027627826529233126,0.0002771731185316045
429.0,0.02094283091279235,0.018979688032952923,0.01270809875365166,0.00019499908803226413,0.0002842724407026729
430.0,0.019257247526286606,0.0173431234226584,0.011120403054625855,0.00013578375928281324,0.00028754543206914446
431.0,0.01768683847088645,0.01562975916172172,0.009597330336486572,9.327962271436792e-05,0.0002868556092816965
432.0,0.016194435934561786,0.013891913308217572,0.008168981888438407,6.321859277903462e-05,0.00028223017736303
433.0,0.014702033398237125,0.012177418812439337,0.0068575862643416585,4.226884118740492e-05,0.0002738580397885375
434.0,0.013209630861912467,0.010527634549922137,0.005677529747334665,2.7881791978776115e-05,0.000262076833688567
435.0,0.01199358386978072,0.008976107065155193,0.004635879056481063,1.814599100846607e-05,0.00024735021671249644
436.0,0.010848481883023904,0.007547905809644546,0.0037332784086818683,1.1655211221587636e-05,0.00023023752312054333
437.0,0.009703379896267086,0.006259591751746489,0.002965090021104992,7.394713884793445e-06,0.00021135854496200576
438.0,0.008558277909510264,0.005119728886008084,0.002322649421185143,4.647011146479819e-06,0.00019135651221728633
439.0,0.00742646121209581,0.004129814323739956,0.0017945215917051767,2.916755087795276e-06,0.00017086232129483322
440.0,0.006294707928950292,0.003285486615979485,0.0013676671091245865,1.8734321985776562e-06,0.0001504627183647058
441.0,0.00516295464580477,0.0025778726414399217,0.0010284548532592218,1.3102618345412602e-06,0.0001306745467370097
442.0,0.0041891251211966,0.0019949478107134724,0.000763485728850684,1.1179796559159036e-06,0.00011192640774833031
443.0,0.003868175525175816,0.0015228083754484213,0.0005602170637266245,1.2729567253743987e-06,9.454826665071571e-05
444.0,0.003547225929155033,0.0011467837885923136,0.00040739784510954283,1.8403255542726035e-06,7.876875947525038e-05
445.0,0.00322627633313425,0.0008523471309678141,0.0002953396573440929,2.9944605708550156e-06,6.471930715458622e-05
446.0,0.003095099739128504,0.0006258091741395813,0.00021605691833833136,5.061329391563879e-06,5.2443675983062473e-05
447.0,0.0032554419132785027,0.0004548043164377209,0.00016331327774273796,8.589943590627128e-06,4.191136447887545e-05
448.0,0.0034157840874284983,0.0003285931446049605,0.00013260974890531155,1.4463427074596704e-05,3.303314169968923e-05
449.0,0.0035761262615784974,0.00023821646698189258,0.00012114537967018016,2.406406024609955e-05,2.567718229239144e-05
450.0,0.00402369397723182,0.0001765398268000272,0.00012777408559082505,3.9510906494219464e-05,1.968449379063626e-05
451.0,0.004667723963273381,0.00013822671131833835,0.0001529726014427639,6.399295954127174e-05,1.4882659277373632e-05
452.0,0.005311753949314939,0.0001196741154587015,0.00019882511149296132,0.00010222458848043413,1.1097271939949643e-05
453.0,0.0059557839353565,0.00011893698920755306,0.0002690206128264508,0.00016105250925682593,8.160773397620075e-06
454.0,0.006861696016464775,0.00013565944989631586,0.00036884999625264107,0.00025024333243372,5.918692942418161e-06
455.0,0.007835822894791043,0.00017102133055519329,0.0005051817598359992,0.000383476345989388,4.233501333328935e-06
456.0,0.008809949773117312,0.00022769933652398385,0.000686388854257394,0.0005795557652847237,2.9864344889004956e-06
457.0,0.009784076651443574,0.00030983334384881306,0.0009221951717038207,0.0008638383579558993,2.0777136077516104e-06
458.0,0.010768006251043018,0.0004229807035894034,0.0012234094982703273,0.0012698445583322216,1.4256002934221892e-06
