wavenumber_cm-1,实验：SDBS 粉末 Raman,"参考理论：ORCA B3LYP/6-31+G(d,p)",构型 1：Gaussian B3LYP/6-31G(d),构型 2：Gaussian B3LYP/6-31G(d),二聚体：Gaussian B3LYP/6-31G(d)
761.0,0.00000000,0.27308070,0.07271927,0.06865422,0.01290386
762.0,0.00000000,0.23986105,0.06043970,0.06276759,0.01546941
763.0,0.00000000,0.20778983,0.04954972,0.05663662,0.01828974
764.0,0.00000000,0.17754041,0.04007306,0.05044954,0.02132656
765.0,0.00000000,0.14962378,0.03197682,0.04437655,0.02452526
766.0,0.00000000,0.12438654,0.02518390,0.03856274,0.02781543
767.0,0.00062254,0.10201971,0.01958579,0.03312367,0.03111269
768.0,0.00153240,0.08257587,0.01505459,0.02814322,0.03432172
769.0,0.00244226,0.06599209,0.01145352,0.02367389,0.03734049
770.0,0.00335212,0.05211583,0.00864561,0.01973908,0.04006550
771.0,0.00383100,0.04073123,0.00650014,0.01633679,0.04239756
772.0,0.00383100,0.03158386,0.00489722,0.01344436,0.04424772
773.0,0.00383100,0.02440232,0.00373035,0.01102367,0.04554290
774.0,0.00383100,0.01891571,0.00290751,0.00902627,0.04623069
775.0,0.00383100,0.01486673,0.00235108,0.00739818,0.04628284
776.0,0.00383100,0.01202027,0.00199685,0.00608399,0.04569721
777.0,0.00383100,0.01016804,0.00179261,0.00503013,0.04449790
778.0,0.00383100,0.00912993,0.00169645,0.00418728,0.04273362
779.0,0.00392679,0.00875267,0.00167507,0.00351190,0.04047439
780.0,0.00574675,0.00890681,0.00170217,0.00296699,0.03780696
781.0,0.00756671,0.00948270,0.00175711,0.00252227,0.03482924
782.0,0.00938667,0.01038604,0.00182376,0.00215380,0.03164445
783.0,0.01120664,0.01153378,0.00188967,0.00184332,0.02835519
784.0,0.01379300,0.01285053,0.00194540,0.00157739,0.02505819
785.0,0.01652306,0.01426590,0.00198407,0.00134650,0.02183982
786.0,0.01925312,0.01571295,0.00200098,0.00114410,0.01877291
787.0,0.02198319,0.01712761,0.00199341,0.00096583,0.01591467
788.0,0.03563265,0.01844910,0.00196037,0.00080880,0.01330603
789.0,0.05565177,0.01962110,0.00190239,0.00067105,0.01097197
790.0,0.07567088,0.02059349,0.00182132,0.00055115,0.00892292
791.0,0.09568999,0.02132428,0.00172005,0.00044790,0.00715679
792.0,0.12643711,0.02178154,0.00160226,0.00036020,0.00566134
793.0,0.17193522,0.02194488,0.00147216,0.00028697,0.00441685
794.0,0.21743332,0.02180652,0.00133418,0.00022715,0.00339863
795.0,0.26293143,0.02137154,0.00119273,0.00017979,0.00257928
796.0,0.29329541,0.02065735,0.00105200,0.00014412,0.00193069
797.0,0.26690631,0.01969244,0.00091577,0.00011975,0.00142553
798.0,0.24051720,0.01851438,0.00078732,0.00010676,0.00103837
799.0,0.21412810,0.01716739,0.00066945,0.00010596,0.00074643
800.0,0.18773900,0.01569956,0.00056445,0.00011912,0.00052994
801.0,0.14952073,0.01416005,0.00047433,0.00014920,0.00037224
802.0,0.11130247,0.01259644,0.00040097,0.00020067,0.00025975
803.0,0.07308420,0.01105242,0.00034646,0.00027984,0.00018168
804.0,0.03486594,0.00956604,0.00031342,0.00039522,0.00012982
805.0,0.02753831,0.00816850,0.00030552,0.00055781,0.00009821
806.0,0.02844818,0.00688359,0.00032795,0.00078146,0.00008284
807.0,0.02935804,0.00572771,0.00038804,0.00108301,0.00008145
808.0,0.03026790,0.00471038,0.00049590,0.00148242,0.00009330
809.0,0.03275832,0.00383518,0.00066508,0.00200256,0.00011908
810.0,0.03639825,0.00310090,0.00091328,0.00266884,0.00016076
811.0,0.04003817,0.00250286,0.00126291,0.00350836,0.00022162
812.0,0.04367810,0.00203422,0.00174157,0.00454880,0.00030617
813.0,0.04463598,0.00168719,0.00238227,0.00581680,0.00042010
814.0,0.04099605,0.00145405,0.00322334,0.00733597,0.00057025
815.0,0.03735612,0.00132794,0.00430779,0.00912460,0.00076442
816.0,0.03371620,0.00130337,0.00568218,0.01119311,0.00101118
817.0,0.02978895,0.00137640,0.00739475,0.01354154,0.00131950
818.0,0.02432930,0.00154460,0.00949285,0.01615716,0.00169831
819.0,0.01886965,0.00180671,0.01201966,0.01901261,0.00215589
820.0,0.01341000,0.00216208,0.01501028,0.02206468,0.00269912
821.0,0.00795035,0.00260994,0.01848741,0.02525417,0.00333273
822.0,0.00680080,0.00314855,0.02245683,0.02850677,0.00405845
823.0,0.00589070,0.00377436,0.02690313,0.03173528,0.00487417
824.0,0.00498060,0.00448117,0.03178617,0.03484304,0.00577325
825.0,0.00407050,0.00525943,0.03703851,0.03772846,0.00674404
826.0,0.00316058,0.00609579,0.04256462,0.04029040,0.00776960
827.0,0.00225071,0.00697286,0.04824180,0.04243395,0.00882789
828.0,0.00134085,0.00786941,0.05392347,0.04407627,0.00989224
829.0,0.00043099,0.00876088,0.05944448,0.04515185,0.01093230
830.0,0.00000000,0.00962019,0.06462859,0.04561688,0.01191539
831.0,0.00000000,0.01041904,0.06929745,0.04545222,0.01280808
832.0,0.00000000,0.01112927,0.07328063,0.04466466,0.01357811
833.0,0.00000000,0.01172448,0.07642590,0.04328648,0.01419626
834.0,0.00000000,0.01218161,0.07860883,0.04137329,0.01463821
835.0,0.00000000,0.01248239,0.07974097,0.03900023,0.01488612
836.0,0.00000000,0.01261455,0.07977578,0.03625715,0.01492981
837.0,0.00000000,0.01257262,0.07871183,0.03324295,0.01476749
838.0,0.00000000,0.01235833,0.07659288,0.03005971,0.01440583
839.0,0.00000000,0.01198046,0.07350488,0.02680708,0.01385956
840.0,0.00000000,0.01145425,0.06957021,0.02357728,0.01315043
841.0,0.00000000,0.01080038,0.06493964,0.02045112,0.01230580
842.0,0.00000000,0.01004364,0.05978275,0.01749524,0.01135689
843.0,0.00081409,0.00921133,0.05427768,0.01476054,0.01033686
844.0,0.00172395,0.00833170,0.04860109,0.01228186,0.00927892
845.0,0.00263381,0.00743231,0.04291906,0.01007871,0.00821460
846.0,0.00354368,0.00653873,0.03737952,0.00815691,0.00717227
847.0,0.00445370,0.00567339,0.03210678,0.00651067,0.00617602
848.0,0.00536380,0.00485479,0.02719813,0.00512513,0.00524499
849.0,0.00627390,0.00409712,0.02272275,0.00397890,0.00439308
850.0,0.00718400,0.00341009,0.01872242,0.00304650,0.00362902
851.0,0.00766300,0.00279919,0.01521397,0.00230048,0.00295680
852.0,0.00766300,0.00226610,0.01219278,0.00171323,0.00237624
853.0,0.00766300,0.00180927,0.00963700,0.00125832,0.00188386
854.0,0.00766300,0.00142465,0.00751209,0.00091148,0.00147363
855.0,0.00742350,0.00110635,0.00577509,0.00065115,0.00113785
856.0,0.00651340,0.00084734,0.00437861,0.00045877,0.00086787
857.0,0.00560330,0.00064003,0.00327411,0.00031878,0.00065479
858.0,0.00469320,0.00047678,0.00241451,0.00021846,0.00048989
859.0,0.00378311,0.00035029,0.00175609,0.00014765,0.00036509
860.0,0.00287325,0.00025381,0.00125962,0.00009843,0.00027310
861.0,0.00196339,0.00018137,0.00089108,0.00006472,0.00020766
862.0,0.00105353,0.00012782,0.00062168,0.00004200,0.00016346
863.0,0.00014366,0.00008884,0.00042776,0.00002692,0.00013618
864.0,0.00000000,0.00006090,0.00029028,0.00001709,0.00012234
865.0,0.00000000,0.00004117,0.00019427,0.00001084,0.00011921
866.0,0.00000000,0.00002745,0.00012823,0.00000700,0.00012467
867.0,0.00000000,0.00001805,0.00008347,0.00000483,0.00013705
868.0,0.00000000,0.00001171,0.00005359,0.00000389,0.00015499
869.0,0.00000000,0.00000749,0.00003393,0.00000395,0.00017739
870.0,0.00000000,0.00000472,0.00002119,0.00000501,0.00020322
871.0,0.00000000,0.00000294,0.00001305,0.00000724,0.00023151
872.0,0.00000000,0.00000180,0.00000793,0.00001102,0.00026130
873.0,0.00000000,0.00000109,0.00000475,0.00001699,0.00029158
874.0,0.00000000,0.00000065,0.00000281,0.00002608,0.00032131
875.0,0.00000000,0.00000038,0.00000165,0.00003961,0.00034946
876.0,0.00000000,0.00000022,0.00000097,0.00005942,0.00037498
877.0,0.00000000,0.00000013,0.00000059,0.00008795,0.00039690
878.0,0.00000000,0.00000007,0.00000040,0.00012840,0.00041438
879.0,0.00000000,0.00000004,0.00000034,0.00018489,0.00042669
880.0,0.00000000,0.00000002,0.00000040,0.00026256,0.00043334
881.0,0.00000000,0.00000001,0.00000060,0.00036774,0.00043404
882.0,0.00000000,0.00000001,0.00000097,0.00050795,0.00042878
883.0,0.00000000,0.00000000,0.00000162,0.00069197,0.00041777
884.0,0.00000000,0.00000000,0.00000270,0.00092968,0.00040147
885.0,0.00000000,0.00000000,0.00000446,0.00123186,0.00038055
886.0,0.00000000,0.00000000,0.00000726,0.00160978,0.00035585
887.0,0.00000000,0.00000000,0.00001166,0.00207468,0.00032832
888.0,0.00000000,0.00000000,0.00001847,0.00263702,0.00029900
889.0,0.00000000,0.00000000,0.00002887,0.00330565,0.00026895
890.0,0.00000000,0.00000001,0.00004449,0.00408677,0.00023923
891.0,0.00000000,0.00000001,0.00006762,0.00498289,0.00021085
892.0,0.00000000,0.00000002,0.00010136,0.00599188,0.00018482
893.0,0.00000000,0.00000003,0.00014985,0.00710598,0.00016207
894.0,0.00000000,0.00000006,0.00021849,0.00831121,0.00014358
895.0,0.00000000,0.00000010,0.00031418,0.00958702,0.00013033
896.0,0.00000000,0.00000016,0.00044555,0.01090643,0.00012342
897.0,0.00000000,0.00000025,0.00062316,0.01223661,0.00012413
898.0,0.00000000,0.00000040,0.00085958,0.01354000,0.00013394
899.0,0.00000000,0.00000062,0.00116935,0.01477597,0.00015466
900.0,0.00000000,0.00000096,0.00156887,0.01590277,0.00018843
901.0,0.00000000,0.00000146,0.00207591,0.01687986,0.00023777
902.0,0.00000000,0.00000219,0.00270899,0.01767032,0.00030554
903.0,0.00000000,0.00000323,0.00348648,0.01824315,0.00039495
904.0,0.00000000,0.00000471,0.00442533,0.01857526,0.00050937
905.0,0.00000000,0.00000677,0.00553967,0.01865305,0.00065223
906.0,0.00000000,0.00000960,0.00683915,0.01847333,0.00082678
907.0,0.00000000,0.00001342,0.00832720,0.01804354,0.00103583
908.0,0.00000000,0.00001850,0.00999944,0.01738122,0.00128138
909.0,0.00000000,0.00002516,0.01184217,0.01651289,0.00156436
910.0,0.00000000,0.00003373,0.01383142,0.01547223,0.00188423
911.0,0.00000000,0.00004461,0.01593242,0.01429800,0.00223872
912.0,0.00000000,0.00005818,0.01809990,0.01303165,0.00262359
913.0,0.00000000,0.00007484,0.02027918,0.01171493,0.00303249
914.0,0.00000000,0.00009494,0.02240805,0.01038775,0.00345698
915.0,0.00000000,0.00011878,0.02441955,0.00908630,0.00388671
916.0,0.00000000,0.00014656,0.02624529,0.00784164,0.00430976
917.0,0.00000000,0.00017834,0.02781925,0.00667882,0.00471309
918.0,0.00000000,0.00021403,0.02908172,0.00561644,0.00508322
919.0,0.00000000,0.00025333,0.02998308,0.00466682,0.00540697
920.0,0.00000000,0.00029572,0.03048699,0.00383637,0.00567218
921.0,0.00000000,0.00034045,0.03057290,0.00312641,0.00586849
922.0,0.00000000,0.00038655,0.03023737,0.00253408,0.00598804
923.0,0.00000000,0.00043284,0.02949440,0.00205334,0.00602594
924.0,0.00000000,0.00047801,0.02837445,0.00167595,0.00598065
925.0,0.00000000,0.00052062,0.02692236,0.00139236,0.00585405
926.0,0.00000000,0.00055923,0.02519448,0.00119237,0.00565134
927.0,0.00000000,0.00059243,0.02325499,0.00106574,0.00538068
928.0,0.00000000,0.00061896,0.02117207,0.00100249,0.00505264
929.0,0.00000000,0.00063777,0.01901397,0.00099315,0.00467951
930.0,0.00000000,0.00064811,0.01684543,0.00102876,0.00427458
931.0,0.00000000,0.00064955,0.01472467,0.00110091,0.00385133
932.0,0.00000000,0.00064203,0.01270113,0.00120162,0.00342272
933.0,0.00000000,0.00062586,0.01081401,0.00132322,0.00300056
934.0,0.00000000,0.00060170,0.00909169,0.00145835,0.00259504
935.0,0.00023944,0.00057052,0.00755190,0.00159986,0.00221438
936.0,0.00114930,0.00053350,0.00620250,0.00174090,0.00186472
937.0,0.00205916,0.00049204,0.00504281,0.00187500,0.00155006
938.0,0.00296903,0.00044757,0.00406523,0.00199626,0.00127247
939.0,0.00378311,0.00040156,0.00325694,0.00209954,0.00103228
940.0,0.00287325,0.00035541,0.00260173,0.00218074,0.00082842
941.0,0.00196339,0.00031041,0.00208159,0.00223707,0.00065876
942.0,0.00105353,0.00026768,0.00167824,0.00226727,0.00052051
943.0,0.00014366,0.00022822,0.00137435,0.00227193,0.00041054
944.0,0.00000000,0.00019292,0.00115468,0.00225364,0.00032574
945.0,0.00000000,0.00016265,0.00100688,0.00221726,0.00026330
946.0,0.00000000,0.00013840,0.00092239,0.00217010,0.00022104
947.0,0.00000000,0.00012147,0.00089710,0.00212214,0.00019759
948.0,0.00000000,0.00011387,0.00093217,0.00208635,0.00019272
949.0,0.00000000,0.00011871,0.00103489,0.00207902,0.00020757
950.0,0.00000000,0.00014089,0.00121978,0.00212025,0.00024494
951.0,0.00000000,0.00018801,0.00150985,0.00223448,0.00030964
952.0,0.00000000,0.00027168,0.00193814,0.00245124,0.00040884
953.0,0.00000000,0.00040916,0.00254945,0.00280586,0.00055254
954.0,0.00000000,0.00062562,0.00340229,0.00334024,0.00075397
955.0,0.00000000,0.00095704,0.00457074,0.00410344,0.00103006
956.0,0.00000000,0.00145383,0.00614630,0.00515211,0.00140187
957.0,0.00000000,0.00218515,0.00823907,0.00655037,0.00189489
958.0,0.00000000,0.00324407,0.01097832,0.00836914,0.00253912
959.0,0.00000000,0.00475326,0.01451168,0.01068454,0.00336894
960.0,0.00000000,0.00687102,0.01900277,0.01357537,0.00442252
961.0,0.00000000,0.00979726,0.02462664,0.01711937,0.00574079
962.0,0.00000000,0.01377862,0.03156292,0.02138834,0.00736583
963.0,0.00000000,0.01911208,0.03998618,0.02644215,0.00933861
964.0,0.00000000,0.02614590,0.05005382,0.03232192,0.01169620
965.0,0.00000000,0.03527677,0.06189161,0.03904277,0.01446834
966.0,0.00000000,0.04694198,0.07557771,0.04658662,0.01767373
967.0,0.00000000,0.06160565,0.09112601,0.05489582,0.02131610
968.0,0.00000000,0.07973802,0.10847042,0.06386831,0.02538054
969.0,0.00000000,0.10178782,0.12745151,0.07335513,0.02983031
970.0,0.00000000,0.12814783,0.14780731,0.08316087,0.03460466
971.0,0.00000000,0.15911516,0.16916994,0.09304763,0.03961799
972.0,0.00000000,0.19484826,0.19106952,0.10274270,0.04476070
973.0,0.00033521,0.23532391,0.21294608,0.11194979,0.04990194
974.0,0.00124508,0.28029807,0.23416983,0.12036323,0.05489429
975.0,0.00215494,0.32927499,0.25406900,0.12768455,0.05958022
976.0,0.00306480,0.38148914,0.27196400,0.13363980,0.06380009
977.0,0.00368734,0.43590401,0.28720543,0.13799670,0.06740105
978.0,0.00277747,0.49123075,0.29921314,0.14057978,0.07024614
979.0,0.00186761,0.54596830,0.30751320,0.14128238,0.07222307
980.0,0.00095775,0.59846451,0.31176944,0.14007440,0.07325162
981.0,0.00004789,0.64699564,0.31180688,0.13700493,0.07328919
982.0,0.00344835,0.68985946,0.30762471,0.13219972,0.07233394
983.0,0.00708827,0.72547545,0.29939776,0.12585368,0.07042521
984.0,0.01072820,0.75248414,0.28746628,0.11821911,0.06764116
985.0,0.01436812,0.76983728,0.27231514,0.10959083,0.06409403
986.0,0.01733745,0.77687092,0.25454428,0.10028956,0.05992314
987.0,0.02006728,0.77335480,0.23483324,0.09064500,0.05528672
988.0,0.02279710,0.75951346,0.21390297,0.08097996,0.05035288
989.0,0.02552693,0.73601718,0.19247790,0.07159663,0.04529077
990.0,0.02538325,0.70394356,0.17125131,0.06276589,0.04026247
991.0,0.02265343,0.66471330,0.15085617,0.05471987,0.03541617
992.0,0.01992360,0.62000590,0.13184294,0.04764793,0.03088103
993.0,0.01719378,0.57166249,0.11466492,0.04169552,0.02676384
994.0,0.02940640,0.52158371,0.09967095,0.03696546,0.02314742
995.0,0.07399442,0.47163033,0.08710458,0.03352067,0.02009055
996.0,0.11858244,0.42353312,0.07710819,0.03138767,0.01762908
997.0,0.16317045,0.37881740,0.06973071,0.03056001,0.01577791
998.0,0.22270100,0.33874518,0.06493708,0.03100121,0.01453326
999.0,0.40924325,0.30427657,0.06261841,0.03264678,0.01387508
1000.0,0.59578550,0.27605005,0.06260166,0.03540539,0.01376926
1001.0,0.78232775,0.25438003,0.06465855,0.03915944,0.01416949
1002.0,0.96887000,0.23926926,0.06851350,0.04376532,0.01501879
1003.0,0.87126462,0.23043350,0.07385112,0.04905418,0.01625083
1004.0,0.74023016,0.22733544,0.08032368,0.05483356,0.01779108
1005.0,0.60919570,0.22922574,0.08755933,0.06089061,0.01955816
1006.0,0.47816124,0.23518896,0.09517153,0.06699707,0.02146538
1007.0,0.36829536,0.24419268,0.10277019,0.07291632,0.02342277
1008.0,0.26819958,0.25513849,0.10997427,0.07841215,0.02533967
1009.0,0.16810380,0.26691332,0.11642567,0.08325889,0.02712767
1010.0,0.06800801,0.27843959,0.12180360,0.08725224,0.02870397
1011.0,0.01446391,0.28872256,0.12583832,0.09021981,0.02999494
1012.0,0.01264395,0.29689268,0.12832326,0.09203047,0.03093941
1013.0,0.01082399,0.30224114,0.12912426,0.09260169,0.03149163
1014.0,0.00900402,0.30424649,0.12818497,0.09190400,0.03162345
1015.0,0.00766300,0.30259063,0.12552781,0.08996215,0.03132554
1016.0,0.00766300,0.29716330,0.12125015,0.08685278,0.03060749
1017.0,0.00766300,0.28805452,0.11551608,0.08269874,0.02949677
1018.0,0.00766300,0.27553586,0.10854416,0.07766064,0.02803656
1019.0,0.00833351,0.26003190,0.10059248,0.07192620,0.02628268
1020.0,0.02107300,0.24208436,0.09194201,0.06569853,0.02429984
1021.0,0.03381250,0.22231162,0.08287972,0.05918418,0.02215760
1022.0,0.04655200,0.20136705,0.07368280,0.05258193,0.01992624
1023.0,0.05929150,0.17989905,0.06460499,0.04607319,0.01767298
1024.0,0.07203100,0.15851574,0.05586597,0.03981450,0.01545877
1025.0,0.08477050,0.13775632,0.04764417,0.03393259,0.01333585
1026.0,0.09751000,0.11807053,0.04007314,0.02852186,0.01134609
1027.0,0.11024950,0.09980665,0.03324138,0.02364446,0.00952033
1028.0,0.10574755,0.08320785,0.02719499,0.01933222,0.00787838
1029.0,0.09118808,0.06841583,0.02194253,0.01559035,0.00642987
1030.0,0.07662862,0.05548043,0.01746147,0.01240198,0.00517543
1031.0,0.06206916,0.04437330,0.01370524,0.00973343,0.00410839
1032.0,0.04904230,0.03500402,0.01061049,0.00753930,0.00321646
1033.0,0.03812276,0.02723698,0.00810375,0.00576741,0.00248351
1034.0,0.02720323,0.02090758,0.00610737,0.00436298,0.00189122
1035.0,0.01628369,0.01583672,0.00454429,0.00327209,0.00142040
1036.0,0.00747140,0.01184292,0.00334159,0.00244429,0.00105218
1037.0,0.00656130,0.00875171,0.00243305,0.00183436,0.00076880
1038.0,0.00565120,0.00640236,0.00176049,0.00140335,0.00055418
1039.0,0.00474110,0.00465198,0.00127442,0.00111899,0.00039423
1040.0,0.00383100,0.00337756,0.00093388,0.00095553,0.00027697
1041.0,0.00292114,0.00247619,0.00070592,0.00089334,0.00019246
1042.0,0.00201127,0.00186408,0.00056472,0.00091808,0.00013268
1043.0,0.00110141,0.00147469,0.00049049,0.00101984,0.00009132
1044.0,0.00019155,0.00125637,0.00046846,0.00119209,0.00006353
1045.0,0.00000000,0.00116981,0.00048777,0.00143066,0.00004564
1046.0,0.00000000,0.00118556,0.00054049,0.00173271,0.00003500
1047.0,0.00000000,0.00128164,0.00062080,0.00209576,0.00002971
1048.0,0.00000000,0.00144150,0.00072418,0.00251678,0.00002847
1049.0,0.00000000,0.00165224,0.00084687,0.00299151,0.00003041
1050.0,0.00000000,0.00190324,0.00098538,0.00351381,0.00003499
1051.0,0.00000000,0.00218511,0.00113619,0.00407536,0.00004185
1052.0,0.00000000,0.00248898,0.00129554,0.00466549,0.00005080
1053.0,0.00000000,0.00280612,0.00145936,0.00527133,0.00006170
1054.0,0.00000000,0.00312789,0.00162335,0.00587819,0.00007444
1055.0,0.00000000,0.00344591,0.00178309,0.00647020,0.00008887
1056.0,0.00000000,0.00375245,0.00193434,0.00703116,0.00010481
1057.0,0.00000000,0.00404107,0.00207331,0.00754550,0.00012200
1058.0,0.00000000,0.00430729,0.00219701,0.00799932,0.00014010
1059.0,0.00000000,0.00454931,0.00230364,0.00838142,0.00015871
1060.0,0.00000000,0.00476872,0.00239288,0.00868411,0.00017733
1061.0,0.00000000,0.00497109,0.00246619,0.00890386,0.00019541
1062.0,0.00086197,0.00516637,0.00252695,0.00904159,0.00021237
1063.0,0.00177184,0.00536899,0.00258057,0.00910262,0.00022763
1064.0,0.00268170,0.00559770,0.00263438,0.00909623,0.00024063
1065.0,0.00359156,0.00587501,0.00269739,0.00903488,0.00025087
1066.0,0.00383100,0.00622623,0.00277990,0.00893313,0.00025795
1067.0,0.00383100,0.00667819,0.00289298,0.00880637,0.00026157
1068.0,0.00383100,0.00725759,0.00304775,0.00866947,0.00026160
1069.0,0.00383100,0.00798903,0.00325467,0.00853549,0.00025802
1070.0,0.00383100,0.00889295,0.00352267,0.00841458,0.00025099
1071.0,0.00383100,0.00998347,0.00385832,0.00831316,0.00024080
1072.0,0.00383100,0.01126636,0.00426506,0.00823343,0.00022784
1073.0,0.00383100,0.01273730,0.00474255,0.00817333,0.00021263
1074.0,0.00383100,0.01438059,0.00528613,0.00812693,0.00019572
1075.0,0.00383100,0.01616851,0.00588665,0.00808508,0.00017772
1076.0,0.00383100,0.01806145,0.00653044,0.00803645,0.00015922
1077.0,0.00383100,0.02000889,0.00719972,0.00796870,0.00014080
1078.0,0.00373523,0.02195126,0.00787323,0.00786967,0.00012300
1079.0,0.00282536,0.02382262,0.00852724,0.00772863,0.00010631
1080.0,0.00191550,0.02555406,0.00913677,0.00753721,0.00009119
1081.0,0.00100564,0.02707752,0.00967699,0.00729015,0.00007806
1082.0,0.00009577,0.02832987,0.01012466,0.00698576,0.00006736
1083.0,0.00000000,0.02925680,0.01045963,0.00662598,0.00005959
1084.0,0.00000000,0.02981630,0.01066606,0.00621615,0.00005539
1085.0,0.00000000,0.02998135,0.01073345,0.00576456,0.00005561
1086.0,0.00000000,0.02974172,0.01065729,0.00528167,0.00006141
1087.0,0.00000000,0.02910447,0.01043932,0.00477935,0.00007440
1088.0,0.00000000,0.02809340,0.01008734,0.00426997,0.00009678
1089.0,0.00000000,0.02674729,0.00961461,0.00376560,0.00013148
1090.0,0.00000000,0.02511722,0.00903894,0.00327729,0.00018232
1091.0,0.00000000,0.02326321,0.00838146,0.00281449,0.00025417
1092.0,0.00000000,0.02125035,0.00766527,0.00238474,0.00035304
1093.0,0.00000000,0.01914502,0.00691406,0.00199342,0.00048623
1094.0,0.00000000,0.01701120,0.00615081,0.00164377,0.00066228
1095.0,0.00000000,0.01490735,0.00539661,0.00133704,0.00089093
1096.0,0.00000000,0.01288400,0.00466977,0.00107273,0.00118287
1097.0,0.00000000,0.01098206,0.00398524,0.00084892,0.00154945
1098.0,0.00000000,0.00923208,0.00335426,0.00066261,0.00200206
1099.0,0.00004789,0.00765414,0.00278433,0.00051011,0.00255153
1100.0,0.00095775,0.00625855,0.00227943,0.00038732,0.00320719
1101.0,0.00186761,0.00504700,0.00184041,0.00029005,0.00397593
1102.0,0.00277747,0.00401397,0.00146549,0.00021423,0.00486114
1103.0,0.00368734,0.00314846,0.00115091,0.00015605,0.00586165
1104.0,0.00383100,0.00243564,0.00089144,0.00011212,0.00697080
1105.0,0.00383100,0.00185836,0.00068101,0.00007947,0.00817571
1106.0,0.00383100,0.00139858,0.00051319,0.00005557,0.00945690
1107.0,0.00383100,0.00103839,0.00038157,0.00003838,0.01078827
1108.0,0.00383100,0.00076095,0.00028011,0.00002623,0.01213768
1109.0,0.00383100,0.00055099,0.00020332,0.00001784,0.01346791
1110.0,0.00383100,0.00039526,0.00014647,0.00001224,0.01473826
1111.0,0.00383100,0.00028268,0.00010561,0.00000875,0.01590652
1112.0,0.00421420,0.00020446,0.00007766,0.00000693,0.01693124
1113.0,0.00512430,0.00015412,0.00006048,0.00000657,0.01777421
1114.0,0.00603440,0.00012755,0.00005283,0.00000770,0.01840282
1115.0,0.00694450,0.00012312,0.00005455,0.00001059,0.01879224
1116.0,0.00785455,0.00014195,0.00006664,0.00001582,0.01892712
1117.0,0.00876441,0.00018825,0.00009153,0.00002432,0.01880274
1118.0,0.00967427,0.00027006,0.00013334,0.00003752,0.01842541
1119.0,0.01058414,0.00040011,0.00019837,0.00005749,0.01781225
1120.0,0.01149400,0.00059708,0.00029564,0.00008711,0.01699015
1121.0,0.01331396,0.00088714,0.00043758,0.00013030,0.01599429
1122.0,0.01513393,0.00130590,0.00064090,0.00019229,0.01486609
1123.0,0.01695389,0.00190062,0.00092749,0.00027991,0.01365103
1124.0,0.01877385,0.00273265,0.00132541,0.00040187,0.01239628
1125.0,0.02490406,0.00388001,0.00186998,0.00056903,0.01114858
1126.0,0.03218368,0.00543991,0.00260466,0.00079465,0.00995230
1127.0,0.03946329,0.00753087,0.00358187,0.00109446,0.00884787
1128.0,0.04674290,0.01029424,0.00486339,0.00148665,0.00787065
1129.0,0.05086166,0.01389452,0.00652042,0.00199159,0.00705022
1130.0,0.05268162,0.01851823,0.00863290,0.00263135,0.00640997
1131.0,0.05450159,0.02437074,0.01128814,0.00342884,0.00596697
1132.0,0.05632155,0.03167066,0.01457860,0.00440664,0.00573208
1133.0,0.05613006,0.04064151,0.01859859,0.00558552,0.00571008
1134.0,0.05249037,0.05150041,0.02344004,0.00698265,0.00589985
1135.0,0.04885069,0.06444406,0.02918740,0.00860965,0.00629452
1136.0,0.04521100,0.07963216,0.03591163,0.01047049,0.00688162
1137.0,0.04114025,0.09716929,0.04366377,0.01255967,0.00764319
1138.0,0.03477050,0.11708611,0.05246820,0.01486055,0.00855602
1139.0,0.02840075,0.13932152,0.06231621,0.01734436,0.00959201
1140.0,0.02203100,0.16370746,0.07316029,0.01996997,0.01071875
1141.0,0.01566125,0.18995809,0.08490956,0.02268456,0.01190040
1142.0,0.01446380,0.21766534,0.09742712,0.02542545,0.01309887
1143.0,0.01355370,0.24630229,0.11052953,0.02812297,0.01427527
1144.0,0.01264360,0.27523546,0.12398907,0.03070435,0.01539161
1145.0,0.01173350,0.30374659,0.13753886,0.03309851,0.01641258
1146.0,0.01082358,0.33106328,0.15088112,0.03524131,0.01730734
1147.0,0.00991371,0.35639742,0.16369836,0.03708100,0.01805103
1148.0,0.00900385,0.37898904,0.17566725,0.03858339,0.01862603
1149.0,0.00809399,0.39815252,0.18647461,0.03973628,0.01902263
1150.0,0.00909975,0.41332176,0.19583469,0.04055275,0.01923920
1151.0,0.01182957,0.42409018,0.20350684,0.04107298,0.01928171
1152.0,0.01455940,0.43024212,0.20931229,0.04136438,0.01916270
1153.0,0.01728922,0.43177215,0.21314884,0.04151984,0.01889981
1154.0,0.01973172,0.42889017,0.21500221,0.04165423,0.01851396
1155.0,0.02155169,0.42201101,0.21495289,0.04189928,0.01802747
1156.0,0.02337165,0.41172880,0.21317742,0.04239698,0.01746223
1157.0,0.02519161,0.39877767,0.20994356,0.04329210,0.01683812
1158.0,0.02653265,0.38398178,0.20559908,0.04472388,0.01617185
1159.0,0.02380283,0.36819845,0.20055428,0.04681761,0.01547634
1160.0,0.02107300,0.35225922,0.19525912,0.04967632,0.01476055
1161.0,0.01834317,0.33691356,0.19017608,0.05337305,0.01402979
1162.0,0.01561335,0.32277989,0.18575041,0.05794409,0.01328651
1163.0,0.01695439,0.31030801,0.18237990,0.06338353,0.01253121
