wavenumber_cm-1,实验：SDBS 粉末 Raman,"参考理论：ORCA B3LYP/6-31+G(d,p)",构型 1：Gaussian B3LYP/6-31G(d),构型 2：Gaussian B3LYP/6-31G(d),二聚体：Gaussian B3LYP/6-31G(d)
42.0,1.00000000,0.00495200,0.01382973,0.01243989,0.05505709
43.0,1.00000000,0.00708423,0.01938333,0.01750940,0.07170353
44.0,1.00000000,0.00999503,0.02679306,0.02430553,0.09215300
45.0,1.00000000,0.01390769,0.03652547,0.03327503,0.11688235
46.0,1.00000000,0.01908558,0.04910760,0.04492739,0.14631552
47.0,1.00000000,0.02583063,0.06511498,0.05982509,0.18078744
48.0,1.00000000,0.03447816,0.08515156,0.07856605,0.22050573
49.0,1.00000000,0.04538712,0.10982056,0.10175736,0.26551301
50.0,1.00000000,0.05892512,0.13968639,0.12997989,0.31565288
51.0,1.00000000,0.07544801,0.17522818,0.16374418,0.37054307
52.0,1.00000000,0.09527402,0.21678698,0.20343938,0.42955899
53.0,1.00000000,0.11865351,0.26450985,0.24927777,0.49183041
54.0,1.00000000,0.14573575,0.31829507,0.30123920,0.55625335
55.0,1.00000000,0.17653507,0.37774381,0.35902014,0.62151770
56.0,1.00000000,0.21089937,0.44212412,0.42199329,0.68615016
57.0,1.00000000,0.24848432,0.51035276,0.48918336,0.74857040
58.0,1.00000000,0.28873676,0.58099998,0.55926444,0.80715725
59.0,1.00000000,0.33089072,0.65232072,0.63058283,0.86032062
60.0,1.00000000,0.37397837,0.72231332,0.70120737,0.90657438
61.0,1.00000000,0.41685765,0.78880468,0.76900684,0.94460530
62.0,1.00000000,0.45825633,0.84955741,0.83175101,0.97333334
63.0,1.00000000,0.49683087,0.90239231,0.88722929,0.99195976
64.0,1.00000000,0.53123670,0.94531694,0.93337852,1.00000000
65.0,1.00000000,0.56020498,0.97664986,0.96840971,0.99730022
66.0,1.00000000,0.58261983,0.99512983,0.99092291,0.98403699
67.0,1.00000000,0.59758951,1.00000000,1.00000000,0.96070130
68.0,1.00000000,0.60450523,0.99105933,0.99526684,0.92806857
69.0,1.00000000,0.60308227,0.96867638,0.97691880,0.88715735
70.0,1.00000000,0.59337939,0.93376408,0.94570743,0.83917960
71.0,1.00000000,0.57579482,0.88771798,0.90288935,0.78548547
72.0,0.99463600,0.55103915,0.83232372,0.85014238,0.72750595
73.0,0.98189650,0.52008766,0.76964229,0.78945649,0.66669589
74.0,0.96915700,0.48411669,0.70188341,0.72300971,0.60448011
75.0,0.95641750,0.44442957,0.63127768,0.65303952,0.54220488
76.0,0.93505737,0.40237895,0.55995779,0.58172027,0.48109634
77.0,0.88136977,0.35929150,0.48985725,0.51105581,0.42222758
78.0,0.82768218,0.31640114,0.42263280,0.44279414,0.36649493
79.0,0.77399459,0.27479482,0.35961372,0.37836835,0.31460415
80.0,0.72030700,0.23537398,0.30177879,0.31886521,0.26706632
81.0,0.69027821,0.19883267,0.24975866,0.26502013,0.22420263
82.0,0.66024942,0.16565191,0.20385991,0.21723510,0.18615722
83.0,0.63022063,0.13610828,0.16410525,0.17561457,0.15291640
84.0,0.60019184,0.11029404,0.13028443,0.14001368,0.12433243
85.0,0.61039288,0.08814526,0.10200982,0.11009303,0.10015010
86.0,0.63132185,0.06947447,0.07877181,0.08537457,0.08003408
87.0,0.65225082,0.05400462,0.05999003,0.06529451,0.06359543
88.0,0.67317979,0.04140150,0.04505746,0.04924977,0.05041584
89.0,0.68673341,0.03130261,0.03337596,0.03663626,0.04006852
90.0,0.69492312,0.02334127,0.02438261,0.02687803,0.03213526
91.0,0.70311284,0.01716516,0.01756734,0.01944747,0.02621932
92.0,0.71130255,0.01244946,0.01248278,0.01387741,0.02195438
93.0,0.71345774,0.00890497,0.00874774,0.00976636,0.01900996
94.0,0.70526802,0.00628194,0.00604589,0.00677855,0.01709394
95.0,0.69707831,0.00437054,0.00412101,0.00464002,0.01595278
96.0,0.68888860,0.00299885,0.00277030,0.00313244,0.01537018
97.0,0.67509544,0.00202934,0.00183666,0.00208558,0.01516481
